"contrast","pop","acc_day","estimate","SE","df","t.ratio","p.value"
"warming - control","CP",0,-0.300724210963321,0.192537528303796,289.316291932656,-1.56189919758824,0.119404885272828
"warming - control","OP",0,0.177229052362365,0.15715720879713,284.620274301636,1.12771824925413,0.260388683983906
"warming - control","CP",8,0.670952158257536,0.274483439846623,286.957347484345,2.44441762545841,0.0151104763746694
"warming - control","OP",8,-0.112537040913885,0.285426183100272,285.336706344445,-0.394277216236853,0.693670895008795
"warming - control","CP",1,0.327979512595881,0.189292236232064,287.038598647462,1.73266225347876,0.0842298049604062
"warming - control","OP",1,0.545388696068932,0.196770273377456,283.223344803987,2.77170269018601,0.00594581283453822
"warming - control","CP",2,0.620531269532631,0.194987486251864,286.978283908983,3.18241586401651,0.00162087831985274
"warming - control","OP",2,0.444581411054575,0.192846764086979,286.032875089871,2.30536101116043,0.0218620022573194
"warming - control","CP",3,0.38353211723924,0.20177847838929,284.583503207092,1.90075829841126,0.0583439446808516
"warming - control","OP",3,0.433767689754211,0.193300594195965,285.243950558683,2.24400598228096,0.025599006508514
"warming - control","CP",4,0.559041831520393,0.196582753369322,282.268574370904,2.84379896984206,0.00478375071226072
"warming - control","OP",4,0.576235321528606,0.198762972681965,283.574892380941,2.89910798652938,0.00403471625058684
"warming - control","CP",5,0.850684939654423,0.52233675052322,286.498228569054,1.6286139905,0.104493837633749
"warming - control","OP",5,NA,NA,NA,NA,NA
"warming - control","CP",6,1.21310690284485,0.452260110785799,286.125453648234,2.68232124371323,0.0077364237752486
"warming - control","OP",6,0.352396922878438,0.45228010452337,286.203228269597,0.779156366495068,0.436531377227109
"warming - control","CP",7,0.574891194148652,0.242034191298291,286.464633378453,2.37524785677961,0.0181954015844437
"warming - control","OP",7,0.534831336657669,0.213201187958571,286.144739258979,2.50857578130191,0.0126750731847647
"warming - control","CP",10,0.664807097043079,0.22674277490598,282.69480664595,2.93198800852086,0.00364339714133076
"warming - control","OP",10,0.349042066803778,0.23797666568175,285.620478031021,1.4667071067823,0.143555899779276
