"exp_rep","exp_date","acc_day","start_time","water_bath","thermometer","tube","pop","treatment","ctmax","datetime","acc_hours"
1,"2/9/2026",0,09:00:00,1,5,1,"OP","control",36.3,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,2,"CP","warming",35.5,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,3,"OP","warming",36.6,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,4,"OP","control",36.7,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,6,"OP","warming",36.8,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,7,"CP","control",36.2,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,8,"CP","warming",35.7,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,9,"CP","control",36.4,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,10,"OP","control",37,2026-02-09 09:00:00,0
1,"2/9/2026",0,09:00:00,1,5,12,"CP","control",36,2026-02-09 09:00:00,0
1,"2/10/2026",1,08:40:00,1,5,1,"CP","control",36,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,2,"OP","control",36,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,3,"CP","warming",36.1,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,4,"OP","control",36.1,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,5,"OP","warming",36.9,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,7,"CP","warming",37.3,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,8,"CP","control",35.8,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,9,"CP","warming",36.3,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,10,"OP","warming",36.8,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,11,"OP","control",35.8,2026-02-10 08:40:00,23.6666666666667
1,"2/10/2026",1,08:40:00,1,5,12,"CP","control",35.9,2026-02-10 08:40:00,23.6666666666667
1,"2/11/2026",2,08:50:00,1,5,1,"CP","warming",36.2,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,2,"OP","control",36.8,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,4,"CP","control",35.9,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,5,"OP","control",36.9,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,6,"CP","warming",36.9,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,7,"CP","control",36.2,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,8,"CP","control",36.8,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,9,"OP","warming",37.1,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,10,"OP","control",37.1,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,11,"OP","warming",36.9,2026-02-11 08:50:00,47.8333333333333
1,"2/11/2026",2,08:50:00,1,5,12,"CP","warming",36.5,2026-02-11 08:50:00,47.8333333333333
1,"2/12/2026",3,08:20:00,1,5,1,"CP","control",35.5,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,2,"CP","control",35.5,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,3,"OP","warming",36.8,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,4,"CP","warming",35.9,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,5,"OP","warming",37.5,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,6,"OP","warming",36.9,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,7,"OP","control",36.3,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,8,"OP","control",36.3,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,9,"CP","warming",36.6,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,10,"OP","control",36.6,2026-02-12 08:20:00,71.3333333333333
1,"2/12/2026",3,08:20:00,1,5,12,"CP","control",35.6,2026-02-12 08:20:00,71.3333333333333
1,"2/13/2026",4,08:30:00,1,5,1,"CP","control",36.4,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,3,"CP","warming",36.2,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,4,"OP","warming",37.1,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,5,"CP","control",36,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,7,"OP","control",36.4,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,8,"CP","warming",36.8,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,10,"OP","warming",37.7,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,11,"CP","warming",35.9,2026-02-13 08:30:00,95.5
1,"2/13/2026",4,08:30:00,1,5,12,"OP","warming",36.9,2026-02-13 08:30:00,95.5
1,"2/14/2026",5,14:00:00,1,5,4,"CP","warming",36.5,2026-02-14 14:00:00,125
1,"2/14/2026",5,14:00:00,1,5,6,"CP","warming",36.8,2026-02-14 14:00:00,125
1,"2/14/2026",5,14:00:00,1,5,7,"CP","warming",36.5,2026-02-14 14:00:00,125
1,"2/14/2026",5,14:00:00,1,5,9,"OP","warming",37.4,2026-02-14 14:00:00,125
1,"2/14/2026",5,14:00:00,1,5,10,"OP","warming",36.8,2026-02-14 14:00:00,125
1,"2/14/2026",5,14:00:00,1,5,11,"CP","control",35.7,2026-02-14 14:00:00,125
1,"2/14/2026",5,14:00:00,1,5,12,"OP","warming",37.7,2026-02-14 14:00:00,125
1,"2/15/2026",6,15:00:00,1,5,1,"OP","warming",36.9,2026-02-15 15:00:00,150
1,"2/15/2026",6,15:00:00,1,5,2,"OP","control",36.5,2026-02-15 15:00:00,150
1,"2/15/2026",6,15:00:00,1,5,3,"CP","control",36,2026-02-15 15:00:00,150
1,"2/15/2026",6,15:00:00,1,5,4,"CP","control",36.1,2026-02-15 15:00:00,150
1,"2/15/2026",6,15:00:00,1,5,6,"CP","warming",37.1,2026-02-15 15:00:00,150
1,"2/15/2026",6,15:00:00,1,5,7,"OP","control",36.5,2026-02-15 15:00:00,150
1,"2/15/2026",6,15:00:00,1,5,9,"CP","warming",37.5,2026-02-15 15:00:00,150
1,"2/15/2026",6,15:00:00,1,5,10,"OP","warming",36.8,2026-02-15 15:00:00,150
0.5,"2/25/2026",0,16:00:00,1,5,1,"OP","warming",36.1,2026-02-25 16:00:00,0
