exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
0.5,2/25/2026,0,16:00,2,3,1,thermometer,NA,NA
0.5,2/25/2026,0,16:00,2,3,2,OP,control,35.9
0.5,2/25/2026,0,16:00,2,3,3,OP,warming,36.8
0.5,2/25/2026,0,16:00,2,3,4,CP,warming,33.1
0.5,2/25/2026,0,16:00,2,3,5,OP,control,35.9
0.5,2/25/2026,0,16:00,2,3,6,CP,warming,34.7
0.5,2/25/2026,0,16:00,2,3,7,CP,warming,34.8
0.5,2/25/2026,0,16:00,2,3,8,CP,control,35.8
0.5,2/25/2026,0,16:00,2,3,9,CP,control,35.5
0.5,2/25/2026,0,16:00,2,3,10,OP,warming,35.9
0.5,2/25/2026,0,16:00,2,3,11,OP,control,36.3
0.5,2/25/2026,0,16:00,2,3,12,CP,control,36.1
