exp_rep,exp_date,acc_day,start_time,water_bath,thermometer,tube,pop,treatment,ctmax
0.5,3/5/2026,8,14:30,1,5,1,CP,control,36.1
0.5,3/5/2026,8,14:30,1,5,2,OP,warming,32.8
0.5,3/5/2026,8,14:30,1,5,3,OP,control,37.2
0.5,3/5/2026,8,14:30,1,5,4,CP,warming,36.6
0.5,3/5/2026,8,14:30,1,5,5,OP,warming,35.9
0.5,3/5/2026,8,14:30,1,5,6,OP,control,36.9
0.5,3/5/2026,8,14:30,1,5,7,OP,control,36.2
0.5,3/5/2026,8,14:30,1,5,8,CP,warming,36.8
0.5,3/5/2026,8,14:30,1,5,9,CP,warming,37.1
0.5,3/5/2026,8,14:30,1,5,10,thermometer,NA,NA
0.5,3/5/2026,8,14:30,1,5,11,CP,control,35.8
0.5,3/5/2026,8,14:30,1,5,12,OP,warming,36.5
