"exp_rep","exp_date","acc_day","start_time","water_bath","thermometer","tube","pop","treatment","ctmax"
"",2026-06-28,"","","","",1,"CP","control",""
"",2026-06-28,"","","","",2,"CP","warming",""
"",2026-06-28,"","","","",3,"CP","control",""
"",2026-06-28,"","","","",4,"CP","warming",""
"",2026-06-28,"","","","",5,"OP","control",""
"",2026-06-28,"","","","",6,"CP","control",""
"",2026-06-28,"","","","",7,"OP","warming",""
"",2026-06-28,"","","","",8,"OP","control",""
"",2026-06-28,"","","","",9,"OP","control",""
"",2026-06-28,"","","","",10,"OP","warming",""
"",2026-06-28,"","","","",11,"thermometer",NA,""
"",2026-06-28,"","","","",12,"CP","warming",""
